UC Initial Claims by County and Week,,,,,,,,
County,WE 3/28/2020,,WE 4/4/2020,,WE 4/11/2020,,WE 4/18/2020,
Northumberland County,"1,213",0.4%,"1,664",0.4%,"1,099",0.4%,509,0.3%
Perry County,577,0.2%,759,0.2%,391,0.1%,226,0.1%
Philadelphia County,"13,037",4.7%,"18,536",4.7%,"13,615",5.0%,"8,188",5.3%
Pike County,343,0.1%,454,0.1%,334,0.1%,231,0.2%
Potter County,165,0.1%,219,0.1%,131,0.0%,115,0.1%
Schuylkill County,"1,840",0.7%,"2,715",0.7%,"1,662",0.6%,894,0.6%
Snyder County,636,0.2%,778,0.2%,561,0.2%,243,0.2%
Somerset County,887,0.3%,"1,204",0.3%,740,0.3%,448,0.3%
Sullivan County,52,0.0%,60,0.0%,42,0.0%,30,0.0%
Susquehanna County,211,0.1%,354,0.1%,215,0.1%,151,0.1%
Tioga County,396,0.1%,450,0.1%,306,0.1%,225,0.1%
Union County,503,0.2%,626,0.2%,330,0.1%,152,0.1%
Venango County,607,0.2%,731,0.2%,454,0.2%,215,0.1%
Warren County,333,0.1%,390,0.1%,230,0.1%,162,0.1%
Washington County,"2,438",0.9%,"2,861",0.7%,"1,937",0.7%,"1,041",0.7%
Wayne County,448,0.2%,596,0.2%,344,0.1%,182,0.1%
Westmoreland County,"4,865",1.8%,"5,935",1.5%,"3,300",1.2%,"1,810",1.2%
Wyoming County,290,0.1%,373,0.1%,239,0.1%,127,0.1%
York County,"5,441",2.0%,"7,827",2.0%,"3,902",1.4%,"2,433",1.6%
Out of State,"7,114",2.6%,"11,182",2.9%,"12,025",4.4%,"11,227",7.3%
Information Not Available,"133,996",48.7%,"204,485",52.3%,"153,838",56.2%,"80,765",52.7%
Total,"275,392",100%,"390,753",100%,"273,648",100%,"153,136",100%
,,,,,,,,
Note: County and industry claims totals will not add to the statewide initial claims total released for the week.  These data should be used as a gauge of the unemployment situation in an area and/or industry and should not be considered an exact real-time count of individuals/claims.,,,,,,,,
